COMUNE     LIVELLO    ESITO    TEMPO     NOTE
  034003  Bedonia                0 su     3,122  (41 colonne)
  034006  Borgo Val di Taro      0 su     6,748  (41 colonne)
  034007  Busseto                0 su     6,821  (41 colonne)
  034009  Collecchio             0 su    14,774  (41 colonne)
  034010  Colorno                0 su     9,080  (41 colonne)
  034013  Felino                 0 su     9,155  (41 colonne)
  034014  Fidenza                0 su    27,265  (41 colonne)
  034015  Fontanellato           0 su     7,097  (41 colonne)
  034016  Fontevivo              0 su     5,466  (41 colonne)
  034017  Fornovo di Taro        0 su     5,981  (41 colonne)
  034018  Langhirano             0 su    10,889  (41 colonne)
  034019  Lesignano de' Bagn     0 su     5,124  (41 colonne)
  034020  Medesano               0 su    10,755  (41 colonne)
  034023  Montechiarugolo        0 su    11,252  (41 colonne)
  034024  Neviano degli Ardu     0 su     3,455  (41 colonne)
  034025  Noceto                 0 su    13,306  (41 colonne)
  034027  Parma                  0 su   198,121  (44 colonne)
  034031  Sala Baganza           0 su     5,949  (41 colonne)
  034032  Salsomaggiore Term     0 su    20,310  (41 colonne)
  034033  San Secondo Parmen     0 su     5,872  (41 colonne)
  034036  Soragna                0 su     4,751  (41 colonne)
  034041  Torrile                0 su     7,743  (41 colonne)
  034042  Traversetolo           0 su     9,664  (41 colonne)
  034049  Sissa Trecasali        0 su     7,901  (41 colonne)
  034050  Polesine Zibello       0 su     3,120  (41 colonne)
  034051  Sorbolo Mezzani        0 su    12,989  (41 colonne)
  035001  Albinea                0 su     8,887  (41 colonne)
  035002  Bagnolo in Piano       0 su     9,583  (41 colonne)
  035003  Baiso                  0 su     3,227  (41 colonne)
  035004  Bibbiano               0 su    10,221  (41 colonne)
  035005  Boretto                0 su     5,314  (41 colonne)
  035006  Brescello              0 su     5,575  (41 colonne)
  035008  Cadelbosco di Sopr     0 su    10,720  (41 colonne)
  035009  Campagnola Emilia      0 su     5,538  (41 colonne)
  035010  Campegine              0 su     5,351  (41 colonne)
  035011  Carpineti              0 su     3,901  (41 colonne)
  035012  Casalgrande            0 su    18,973  (41 colonne)
  035013  Casina                 0 su     4,555  (41 colonne)
  035014  Castellarano           0 su    15,241  (41 colonne)
  035015  Castelnovo di Sott     0 su     8,599  (41 colonne)
  035016  Castelnovo ne' Mon     0 su    10,345  (41 colonne)
  035017  Cavriago               0 su     9,873  (41 colonne)
  035018  Canossa                0 su     3,759  (41 colonne)
  035020  Correggio              0 su    25,159  (41 colonne)
  035021  Fabbrico               0 su     6,788  (41 colonne)
  035022  Gattatico              0 su     5,716  (41 colonne)
  035023  Gualtieri              0 su     6,281  (41 colonne)
  035024  Guastalla              0 su    14,627  (41 colonne)
  035026  Luzzara                0 su     8,555  (41 colonne)
  035027  Montecchio Emilia      0 su    10,464  (41 colonne)
  035028  Novellara              0 su    13,247  (41 colonne)
  035029  Poviglio               0 su     7,111  (41 colonne)
  035030  Quattro Castella       0 su    13,238  (41 colonne)
  035032  Reggiolo               0 su     9,243  (41 colonne)
  035033  Reggio nell'Emilia     0 su   171,207  (44 colonne)
  035034  Rio Saliceto           0 su     6,050  (41 colonne)
  035035  Rolo                   0 su     3,992  (41 colonne)
  035036  Rubiera                0 su    14,764  (41 colonne)
  035037  San Martino in Rio     0 su     8,237  (41 colonne)
  035038  San Polo d'Enza        0 su     6,134  (41 colonne)
  035039  Sant'Ilario d'Enza     0 su    11,379  (41 colonne)
  035040  Scandiano              0 su    25,853  (41 colonne)
  035041  Toano                  0 su     4,173  (41 colonne)
  035043  Vezzano sul Crosto     0 su     4,384  (41 colonne)
  035044  Viano                  0 su     3,417  (41 colonne)
  035045  Villa Minozzo          0 su     3,519  (41 colonne)
  035046  Ventasso               0 su     3,898  (41 colonne)
  036001  Bastiglia              0 su     4,237  (41 colonne)
  036002  Bomporto               0 su    10,261  (41 colonne)
