n,variabile,descrizione
723,CIDSLWIFI,"Connessione usata dalla famiglia: fissa a banda larga (es.DSL, ADSL, VDSL, cavo, fibra ottica,"
724,CISFPAL,Connessione usata dalla famiglia: rete di telefonia mobile a banda larga con cellulare o smartp
725,CISFMOD,Connessione usata dalla famiglia: rete di telefonia mobile a banda larga tramite SIM card o chi
726,CIBASTR,"Connessione fissa o mobile a banda stretta (es.ISDN, 2G, GPRS, ecc.)"
727,MOTNOAI1,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: accede ad Internet da al
728,MOTNOAI3,"Motivo per cui la famiglia non dispone di accesso ad Internet da casa: Internet non ï¿½ utile,"
729,MOTNOAI4,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: alto costo degli strumen
730,MOTNOAI5,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: alto costo del collegame
731,MOTNOAI6,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: nessuno sa usare interne
732,MOTNOAI8,"Motivo per cui la famiglia non dispone di accesso ad Internet da casa: motivi di privacy, sicur"
733,MOTNOAI10,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: mancanza di una connessi
734,MOTNOAI9,Motivo per cui la famiglia non dispone di accesso ad Internet da casa: altro motivo (codice)
735,SITE,Valutazione della situazione economica della famiglia confrontata con quella di un anno fa
736,RISEC,Con riferimento agli ultimi 12 mesi e tenendo presente le esigenze di tutti i componenti famili
