n,variabile,descrizione
267,INTATT18A,negli ultimi 3 mesi ha fatto un corso di formazione online
268,MATDID_N,negli ultimi 3 mesi ha ulizzato materiale didattico online esclusi i corsi completi es. video t
269,COM_STUDN,Negli ultimi 3 mesi ha comunicato con docenti o studenti utilizzando audio o video online (es.
270,FOR_SC,"Motivi per cui ha partecipato a tali attivitï¿½ di formazione: scolastici, universitari, accade"
271,FOR_LAV,Motivi per cui ha partecipato a tali attivitï¿½ di formazione: professionali/legati allï¿½attiv
272,FOR_PR,Motivi per cui ha partecipato a tali attivitï¿½ di formazione: motivi privati
273,ACC,Ha mai aperto un account o effettuato una registrazione a un'app o a un servizio gratuito
274,ACC_DEL,Negli ultimi 3 mesi ha mai cancellato un suo account personale
275,ACC_PRB,Negli ultimi 3 mesi ha riscontrato difficoltï¿½ nel cancellare o chiudere un proprio account
276,COSINT9A,Negli ultimi 3 mesi ha svolto operazioni finanziarie per uso privato su internet (escluse e-mai
277,COSINT9B,Negli ultimi 3 mesi ha svolto operazioni finanziarie per uso privato su internet (escluse e-mai
278,COSINT9C,Negli ultimi 3 mesi ha svolto operazioni finanziarie per uso privato su internet (escluse e-mai
279,PA_CO,negli ultimi 12 mesi ha usato Internet per Accedere alle informazioni acquisite sul proprio con
280,PA_BA,negli ultimi 12 mesi ha usato Internet perAccedere alle informazioni da banche dati o registri
281,PA_SE,negli ultimi 12 mesi ha usato Internet per ottenere informazioni sui servizi benefici ecc
282,PA_DWN,negli ultimi 12 mesi ha usato Internet per scaricare stampare moduli ufficiali dai siti della P
283,PA_PRE,negli ultimi 12 mesi ha usato Internet per prendere un appuntamento tramite un sito web della P
284,PA_RED_N,"Negli ultimi 12 mesi ha compilato, modificato, revisionato o approvato la Sua dichiarazione dei"
285,PA_CER,"Negli ultimi 12 mesi, per motivi privati, ha utilizzato siti web o app della Pubblica Amministr"
286,PA_PPS,"Negli ultimi 12 mesi, per motivi privati, ha utilizzato siti web o app della Pubblica Amministr"
287,PA_SC,"Negli ultimi 12 mesi, per motivi privati, ha utilizzato siti web o app della Pubblica Amministr"
288,PA_ALT,"Negli ultimi 12 mesi, per motivi privati, ha utilizzato siti web o app della pubblica amministr"
289,PANO_DOC,"Motivi per cui non ha richiesto documenti ufficiali, prestazioni di previdenza sociale altre is"
290,PANO_SKIL,"Motivi per cui non ha richiesto documenti ufficiali, prestazioni di previdenza sociale altre is"
291,PANO_SIC,"Motivi per cui non ha richiesto documenti ufficiali, prestazioni di previdenza sociale altre is"
292,PANO_PER,"Motivi per cui non ha richiesto documenti ufficiali, prestazioni di previdenza sociale altre is"
293,PANO_ALT,"Motivi per cui non ha richiesto documenti ufficiali, prestazioni di previdenza sociale altre is"
294,PAPR_APP,Problemi riscontrati nell'utilizzo di siti web o app della Pubblica Amministrazione o dei gesto
295,PAPR_TEC,Problemi riscontrati nell'utilizzo di siti web o app della Pubblica Amministrazione o dei gesto
296,PAPR_ACC,Problemi riscontrati nell'utilizzo di siti web o app della Pubblica Amministrazione o dei gesto
297,PAPR_ALT,Problemi riscontrati nell'utilizzo di siti web o app della Pubblica Amministrazione o dei gesto
298,PAPR_NO,Problemi riscontrati nell'utilizzo di siti web o app della Pubblica Amministrazione o dei gesto
299,INTCOM,ha mai comprato o ordinato merci e/o servizi per uso privato su internet
300,B_ABB,"Negli ultimi 3 mesi ha comprato capi di abbigliamento, incluso quello sportivo, scarpe o access"
301,B_SPORT,negli ultimi 3 mesi ha comprato articoli sportivi
302,B_TOYS,negli ultimi 3 mesi ha comprato giocattoli
303,B_HOME,negli ultimi 3 mesi ha comprato articoli per la casa
304,B_MUFIL,"Negli ultimi 3 mesi ha comprato cd, vinili o film/serie tv come dvd, blu-ray"
305,B_LIBRI,negli ultimi 3 mesi ha comprato libri
306,B_PC,"negli ultimi 3 mesi ha comprato Computer, tablet, telefoni cellulari, smartphone"
307,B_TV,negli ultimi 3 mesi ha comprato TV
308,B_FARM,negli ultimi 3 mesi ha comprato farmaci
309,B_PASTI,negli ultimi 3 mesi ha comprato consegne da ristoranti pasti
310,B_CIBO,negli ultimi 3 mesi ha comprato prodotti alimentari
311,B_COSM,negli ultimi 3 mesi ha comprato prodotti di cosmesi
312,B_IGENE,negli ultimi 3 mesi ha comprato prodotti per la pulizia della casa
313,B_VEICOLI,"negli ultimi 3 mesi ha comprato biciclette, ciclomotori auto"
314,B_ALT,negli ultimi 3 mesi ha comprato ALTRE MERCI
315,B_NO,negli ultimi 3 mesi non ho comprato merci
316,MS_ABBINT1,Negli ultimi 3 mesi quali tipi di merci e/o servizi ha acquistato: abbonamenti ad internet o a
317,MS_ABBELE1,Negli ultimi 3 mesi quali tipi di merci e/o servizi ha acquistato: abbonamenti fornitura elettr
318,MS_NO1,Negli ultimi 3 mesi quali tipi di merci e/o servizi ha acquistato: nessuno
319,S_MUSIC,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento:Musi
320,S_FILM,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento:FILM
321,S_QUOT,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: new
322,S_GIOCH1,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: gio
323,S_SAL,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento:APP
324,S_APPAL,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento:ALTR
325,S_NOAPP1,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: nes
326,P2P_TRAAG1,Negli ultimi 3 mesi ha acquistato tramite siti web o app o un servizio di trasporto da agenzie
327,P2P_ACCAG1,Negli ultimi 3 mesi ha acquistato tramite siti web o app: affitto di alloggio
328,MS_TICK,"Negli ultimi 3 mesi ha acquistato tramite siti web o app: biglietti per eventi sportivi, concer"
329,S_BOOK1,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: lib
330,S_SOFT1,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: sof
331,S_GIOCHI1,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: gio
332,S_NO,Negli ultimi 3 mesi ha acquistato o si ï¿½ abbonato a uno dei seguenti servizi a pagamento: nes
