cognome,frequenza
RIDI,68
TACCHI,68
ULIVI,68
SARDI,68
VANGELISTI,68
CARRARESI,68
CATELANI,68
CATARZI,68
FRATI,67
DE SANTIS,67
FROSINI,67
FRANCIONI,67
FANETTI,67
CONTINI,67
GUASTI,67
MALAVOLTI,67
MECOCCI,67
NENCETTI,67
PIANI,67
PIRAS,67
MELE,67
NARDONI,67
TRAPANI,67
BUCELLI,67
CARLETTI,67
GUARINO,66
MARINAI,66
MAFFEI,66
MANCA,66
PUGLIESE,66
PIAZZESI,66
SALUCCI,66
TESTI,66
TOTI,66
ZHAO,66
CAROTI,66
FALCONE,65
CRESTI,65
CHIMENTI,65
CENI,65
COLOMBO,65
FRASSINETI,65
FAINI,65
GATTI,65
KUMAR,65
MAESTRINI,65
GARCIA ,65
PAGANI,65
PALAGI,65
TORELLI,65
SBOLCI,65
TEMPESTI,65
BIZZARRI,65
ANCILLOTTI,65
BARONCINI,65
FABBRONI,64
DALLAI,64
CLEMENTE,64
CHIARUGI,64
FALUGIANI,64
GASPERINI,64
GAMBACCIANI,64
GHINI,64
OLIVIERI,64
MONTANARI,64
MICELI,64
MENGONI,64
MONTINI,64
SANESI,64
SELVI,64
RIZZI,64
RONTINI,64
STEFANELLI,64
SCOPETANI,64
ALFANI,64
BALDASSINI,64
ARIANI,64
CAI,64
DAINELLI,63
CHIESI,63
COSTANTINI,63
FABBRIZZI,63
FAGIOLI,63
DAVITTI,63
MARCHIANI,63
MARINELLI,63
OLMI,63
RAGAZZINI,63
MONTIGIANI,63
SACCO,63
SERENI,63
VOLPE,63
DE MARTINO,62
DONG,62
MARCELLI,62
MANNI,62
MARRA,62
MAZZOCCHI,62
OLIVA,62
SOLDI,62
TONINI,62
SENATORI,62
RETTORI,62
VIGNOLINI,62
CAPPUGI,62
ALTERINI,62
BACCETTI,62
FAVILLI,61
FANTI,61
FORCONI,61
DEL RE,61
COSTANTINO,61
HOSSAIN,61
PRATELLESI,61
MATTOLINI,61
NAPOLITANO,61
TASSINI,61
STAN,61
ROMITI,61
ROMOLINI,61
ZINGONI,61
CARLESI,61
CARBONI,61
BRIZZI,61
BRAVI,61
CAMICIOTTOLI,61
CASTELLUCCI,61
CECCHERELLI,60
FIORENTINI,60
DE VITA,60
CICALI,60
FERRANTE,60
GUALTIERI,60
MARKU,60
PEPE,60
QUERCI,60
PIERINI,60
MASOTTI,60
PEPI,60
TOGNACCINI,60
RASTRELLI,60
RUBINO,60
STACCIOLI,60
RUGGERI,60
VEZZOSI,60
ZETTI,60
ARRIGHI,60
ALBANESE,60
CALO',60
BRUNORI,60
CALVELLI,60
BASAGNI,60
FOGGI,59
FORTI,59
CRINI,59
MARINARI,59
IZZO,59
MICHELOZZI,59
MATUCCI,59
PORCIANI,59
TARGIONI,59
VIERI,59
BRANDANI,59
BARGIACCHI,59
FORTE,58
CIATTI,58
GRADI,58
MATERA,58
NIGI,58
MONTAGNI,58
RAVEGGI,58
TELLINI,58
RAUGEI,58
TONELLI,58
SORBI,58
VANNOZZI,58
BERTOCCI,58
BROGIONI,58
CAVINI,57
CONFORTI,57
DOBRE,57
DONDOLI,57
CEI,57
CORTESE,57
MACCARI,57
MANGINI,57
JIANG,57
MARIN,57
PIERACCIONI,57
PEZZATINI,57
PINNA,57
MILLI,57
PIEROZZI,57
POLLASTRI,57
PISANO,57
PISANI,57
ROVAI,57
RISALITI,57
TRENTANOVE,57
BRESCHI,57
CAPRETTI,57
FANTAPPIE',56
CRESCI,56
EVANGELISTI,56
FALAI,56
FERNANDO,56
MANI,56
GIUSTINI,56
LUCHERINI,56
MACRI',56
PONTICELLI,56
MAZZA,56
PIANIGIANI,56
PERRI,56
MASETTI,56
MUCA,56
RICCIO,56
TATINI,56
SQUILLONI,56
BARAGLI,56
BALESTRI,56
ANGELI,56
BURRONI,56
COSTANZO,55
FRATONI,55
FU,55
FALLAI,55
FABBRUCCI,55
DONATO,55
GIANNOZZI,55
GHEZZI,55
MANUELLI,55
GRIMALDI,55
MELONI,55
MASSINI,55
TAPINASSI,55
RUFAT,55
SCHEGGI,55
SCOTTI,55
TOSCANO,55
VISANI,55
CAROTTI,55
BROGELLI,55
AIELLO,55
CAPACCIOLI,55
BARSOTTI,55
CAIANI,55
BRUNELLI,55
BAGNI,55
CAPONI,55
FREDIANI,54
CHIAVACCI,54
DIANI,54
GAGLIARDI,54
FALSETTI,54
CECCATELLI,54
CIANFANELLI,54
DUGINI,54
D'ELIA,54
FRESCHI,54
KAUR,54
GIOTTI,54
MARCHIONNI,54
MAGGIORELLI,54
POPESCU,54
PIERACCIOLI,54
PRUNETI,54
PALANDRI,54
ROSSELLI,54
TACCETTI,54
YU,54
VIVARELLI,54
ZANI,54
BURRINI,54
AGNOLONI,54
ANDREUCCI,54
BECHERUCCI,54
BETTARINI,54
BARTALUCCI,54
BORGOGNI,54
BARTOLUCCI,54
FORMIGLI,53
DEL BENE,53
CICCONE,53
FRITTELLI,53
CHELLI,53
LABARDI,53
MICHELASSI,53
MARUCELLI,53
RAFANELLI,53
POPA,53
PASTORELLI,53
PECORINI,53
POLIDORI,53
PAPA,53
MERCIAI,53
SECCHI,53
TEMPESTINI,53
SODINI,53
RONCHI,53
VERDI,53
VERDIANI,53
STOPPIONI,53
TORRICINI,53
ZEI,53
BACCINI,53
BERNABEI,53
DEL BIANCO,52
DORI,52
DEL SOLDATO,52
CONSUMI,52
MACALUSO,52
GUEYE,52
MAROTTA,52
MECATTI,52
MILAZZO,52
MENCARELLI,52
MEI,52
NELLI,52
MOHAMED,52
NATI,52
PICCOLO,52
XIANG,52
BOCCIOLINI,52
BRESCI,52
CAO,52
BAZZANI,52
BERARDI,52
CIONCOLINI,51
COLELLA,51
CECIONI,51
FALCHI,51
CROCETTI,51
LUZZI,51
PARRONCHI,51
PERISSI,51
MOCHI,51
SERNI,51
REGOLI,51
RONCONI,51
SIMONELLI,51
SARTINI,51
CARMIGNANI,51
CALZOLARI,51
BASTIANI,51
CARLINI,51
BODDI,51
BARNI,51
BRUSCOLI,51
BONACCHI,51
FILIPPONI,50
CIOBANU,50
